state,latitude,longitude,state_name,country
AK,63.588753,-154.493062,Alaska,USA
AL,32.318231,-86.902298,Alabama,USA
AR,35.20105,-91.831833,Arkansas,USA
AZ,34.048928,-111.093731,Arizona,USA
CA,36.778261,-119.417932,California,USA
CO,39.550051,-105.782067,Colorado,USA
CT,41.603221,-73.087749,Connecticut,USA
DC,38.905985,-77.033418,District of Columbia,USA
DE,38.910832,-75.52767,Delaware,USA
FL,27.664827,-81.515754,Florida,USA
GA,32.157435,-82.907123,Georgia,USA
HI,19.898682,-155.665857,Hawaii,USA
IA,41.878003,-93.097702,Iowa,USA
ID,44.068202,-114.742041,Idaho,USA
IL,40.633125,-89.398528,Illinois,USA
IN,40.551217,-85.602364,Indiana,USA
KS,39.011902,-98.484246,Kansas,USA
KY,37.839333,-84.270018,Kentucky,USA
LA,31.244823,-92.145024,Louisiana,USA
MA,42.407211,-71.382437,Massachusetts,USA
MD,39.045755,-76.641271,Maryland,USA
ME,45.253783,-69.445469,Maine,USA
MI,44.314844,-85.602364,Michigan,USA
MN,46.729553,-94.6859,Minnesota,USA
MO,37.964253,-91.831833,Missouri,USA
MS,32.354668,-89.398528,Mississippi,USA
MT,46.879682,-110.362566,Montana,USA
NC,35.759573,-79.0193,North Carolina,USA
ND,47.551493,-101.002012,North Dakota,USA
NE,41.492537,-99.901813,Nebraska,USA
NH,43.193852,-71.572395,New Hampshire,USA
NJ,40.058324,-74.405661,New Jersey,USA
NM,34.97273,-105.032363,New Mexico,USA
NV,38.80261,-116.419389,Nevada,USA
NY,43.299428,-74.217933,New York,USA
OH,40.417287,-82.907123,Ohio,USA
OK,35.007752,-97.092877,Oklahoma,USA
OR,43.804133,-120.554201,Oregon,USA
PA,41.203322,-77.194525,Pennsylvania,USA
PR,18.220833,-66.590149,Puerto Rico,USA
RI,41.580095,-71.477429,Rhode Island,USA
SC,33.836081,-81.163725,South Carolina,USA
SD,43.969515,-99.901813,South Dakota,USA
TN,35.517491,-86.580447,Tennessee,USA
TX,31.968599,-99.901813,Texas,USA
UT,39.32098,-111.093731,Utah,USA
VA,37.431573,-78.656894,Virginia,USA
VT,44.558803,-72.577841,Vermont,USA
WA,47.751074,-120.740139,Washington,USA
WI,43.78444,-88.787868,Wisconsin,USA
WV,38.597626,-80.454903,West Virginia,USA
WY,43.075968,-107.290284,Wyoming,USA
